"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1818837";"";"None";"462.51";"1";"5.30";"47";"COc1cc(-c2cn(Cc3ccc(-c4nc5ccccc5o4)cc3)nn2)ccc1-n1cnc(C)c1";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"14.48";"0.26";"1.40";"7.99";"0";"CHEMBL1820232";"Modulation of gamma-secretase in human SH-SY5Y cells over-expressing beta-APP C-terminal fragment SPA4CT assessed as amyloid beta42 level by electrochemiluminescent analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1817592";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307740";"";"";"";"0.2"
"CHEMBL375635";"";"None";"385.94";"1";"7.00";"2, Bsc3039";"CCCCCCCCn1c2ccc(Cl)cc2c2ccc(C(C)C(=O)O)cc21";"IC50";"'>'";"6900.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1816006";"Modulation of gamma-secretase activity in human H4 cells expressing APP695 assessed as increase in amyloid beta42 production after 20 to 24 hrs by liquid phase electrochemiluminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"H4";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1811865";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3308507";"";"";"";"6.9"
"CHEMBL1812399";"";"None";"295.43";"1";"5.86";"11, BSc4029";"CCCCCCCCn1c2ccccc2c2ccc(O)cc21";"IC50";"'>'";"80000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1816006";"Modulation of gamma-secretase activity in human H4 cells expressing APP695 assessed as increase in amyloid beta42 production after 20 to 24 hrs by liquid phase electrochemiluminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"H4";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1811865";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3308507";"";"";"";"80.0"
"CHEMBL1812406";"";"None";"393.48";"1";"5.86";"20, BSc3972";"CCCCCCCCn1c2ccccc2c2ccc(OC3=C(O)COC3=O)cc21";"IC50";"'>'";"80000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1816004";"Modulation of gamma-secretase activity in human H4 cells expressing APP695 assessed as increase in amyloid beta40 production after 20 to 24 hrs by liquid phase electrochemiluminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"H4";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1811865";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3308507";"";"";"";"80.0"
"CHEMBL1812406";"";"None";"393.48";"1";"5.86";"20, BSc3972";"CCCCCCCCn1c2ccccc2c2ccc(OC3=C(O)COC3=O)cc21";"IC50";"'='";"37000.0";"nM";"4.43";"";"";"UO_0000065";"11.26";"0.21";"-1.43";"7.30";"0";"CHEMBL1816006";"Modulation of gamma-secretase activity in human H4 cells expressing APP695 assessed as increase in amyloid beta42 production after 20 to 24 hrs by liquid phase electrochemiluminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"H4";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1811865";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3308507";"";"";"";"37.0"
"CHEMBL1812410";"";"None";"377.49";"1";"5.25";"24, BSc3892";"CCCCCCCCn1c2ccccc2c2ccc(OCc3nn[nH]n3)cc21";"IC50";"'='";"165000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1816002";"Modulation of gamma-secretase activity in human H4 cells expressing APP695 assessed as increase in amyloid beta38 production after 20 to 24 hrs by liquid phase electrochemiluminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"H4";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1811865";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3308507";"";"";"";"165.0"
"CHEMBL2019006";"";"None";"580.36";"2";"5.69";"2i";"O=C(c1cnc(Cl)nc1C(F)(F)F)N1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2019731";"Inhibition of gamma-secretase in human SH-SY5Y cells co-expressing APP C-terminal fragment SPA4CT assessed as inhibition of amyloid beta 40 production by electrochemiluminescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2016479";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307740";"";"";"";"10.0"
"CHEMBL2019002";"";"None";"479.94";"0";"3.96";"2e";"Cn1ccnc1C(=O)N1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"13.96";"0.29";"2.74";"9.27";"0";"CHEMBL2019731";"Inhibition of gamma-secretase in human SH-SY5Y cells co-expressing APP C-terminal fragment SPA4CT assessed as inhibition of amyloid beta 40 production by electrochemiluminescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2016479";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307740";"";"";"";"0.2"
"CHEMBL2019004";"";"None";"544.93";"2";"5.64";"2g";"O=C(c1cnccc1C(F)(F)F)N1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1";"IC50";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"12.77";"0.26";"1.32";"10.33";"0";"CHEMBL2019730";"Inhibition of gamma-secretase in human SH-SY5Y cells co-expressing APP C-terminal fragment SPA4CT assessed as inhibition of amyloid beta 42 production by electrochemiluminescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2016479";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307740";"";"";"";"0.11"
"CHEMBL2019002";"";"None";"479.94";"0";"3.96";"2e";"Cn1ccnc1C(=O)N1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1";"IC50";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"14.16";"0.29";"2.84";"9.40";"0";"CHEMBL2019730";"Inhibition of gamma-secretase in human SH-SY5Y cells co-expressing APP C-terminal fragment SPA4CT assessed as inhibition of amyloid beta 42 production by electrochemiluminescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2016479";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307740";"";"";"";"0.16"
"CHEMBL2019001";"";"None";"559.03";"2";"5.72";"2d";"COc1ccc2c(C(=O)N3CCC(c4cc(F)ccc4F)(S(=O)(=O)c4ccc(Cl)cc4)CC3)cn(C)c2c1";"IC50";"'='";"70.0";"nM";"7.16";"";"";"UO_0000065";"12.80";"0.26";"1.43";"10.43";"0";"CHEMBL2019730";"Inhibition of gamma-secretase in human SH-SY5Y cells co-expressing APP C-terminal fragment SPA4CT assessed as inhibition of amyloid beta 42 production by electrochemiluminescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2016479";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307740";"";"";"";"0.07"
"CHEMBL2018998";"";"None";"547.93";"1";"4.98";"2a";"Cn1cc(C(=O)N2CCC(c3cc(F)ccc3F)(S(=O)(=O)c3ccc(Cl)cc3)CC2)c(C(F)(F)F)n1";"IC50";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"12.63";"0.26";"1.94";"9.58";"0";"CHEMBL2019730";"Inhibition of gamma-secretase in human SH-SY5Y cells co-expressing APP C-terminal fragment SPA4CT assessed as inhibition of amyloid beta 42 production by electrochemiluminescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2016479";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307740";"";"";"";"0.12"
"CHEMBL2017563";"";"None";"484.48";"0";"4.04";"25";"COc1cc(-c2cn(CC(=O)N(Cc3ccccc3)CC(F)(F)F)nn2)ccc1-n1cnc(C)c1";"IC50";"'='";"270.0";"nM";"6.57";"";"";"UO_0000065";"13.56";"0.26";"2.53";"8.41";"0";"CHEMBL2021101";"Inhibition of gamma secretase-mediated amyloid beta42 production in human SH-SY5Y cells overexpressing beta-APP C-terminal SPA4CT by electrochemiluminescent analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2016515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307740";"";"";"";"0.27"
"CHEMBL2017582";"";"None";"516.45";"1";"4.35";"53";"COc1cc(-c2cn([C@H]3C[C@@H](C(F)(F)F)CCN(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1";"IC50";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"14.91";"0.29";"3.35";"9.86";"0";"CHEMBL2021101";"Inhibition of gamma secretase-mediated amyloid beta42 production in human SH-SY5Y cells overexpressing beta-APP C-terminal SPA4CT by electrochemiluminescent analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2016515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307740";"";"";"";"0.02"
"CHEMBL2017568";"";"None";"366.43";"0";"2.29";"38";"COc1cc(-c2cn(C3CCCCNC3=O)nn2)ccc1-n1cnc(C)c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2021102";"Inhibition of gamma secretase-mediated amyloid beta40 production in human SH-SY5Y cells overexpressing beta-APP C-terminal SPA4CT by electrochemiluminescent analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2016515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307740";"";"";"";"10.0"
"CHEMBL2016588";"";"None";"422.53";"0";"3.70";"45";"COc1cc(-c2cn(C3CCCC(C(C)(C)C)NC3=O)nn2)ccc1-n1cnc(C)c1";"IC50";"'='";"5120.0";"nM";"5.29";"";"";"UO_0000065";"12.52";"0.23";"1.59";"6.09";"0";"CHEMBL2021102";"Inhibition of gamma secretase-mediated amyloid beta40 production in human SH-SY5Y cells overexpressing beta-APP C-terminal SPA4CT by electrochemiluminescent analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2016515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307740";"";"";"";"5.12"
"CHEMBL2017579";"";"None";"532.65";"2";"5.60";"50";"COc1cc(-c2cn([C@H]3CC[C@H](c4ccccc4)CN(Cc4ccccc4)C3=O)nn2)ccc1-n1cnc(C)c1";"IC50";"'='";"510.0";"nM";"6.29";"";"";"UO_0000065";"11.81";"0.21";"0.69";"8.06";"0";"CHEMBL2021102";"Inhibition of gamma secretase-mediated amyloid beta40 production in human SH-SY5Y cells overexpressing beta-APP C-terminal SPA4CT by electrochemiluminescent analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2016515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307740";"";"";"";"0.51"
"CHEMBL1837057";"";"None";"469.51";"0";"3.82";"29, enantiomer";"Cc1cnc(C2CC3Cc4[nH]ncc4C(C2)N3S(=O)(=O)c2ccc(C(F)(F)F)nc2)s1";"IC50";"'='";"39980.0";"nM";"4.40";"";"";"UO_0000065";"9.37";"0.19";"0.58";"4.79";"0";"CHEMBL1837503";"Inhibition of gamma-secretase-mediated notch cleavage in human SNC-204B8 cells after 16 hrs by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SNC-204B8";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1833811";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"39980.0"
"CHEMBL1837048";"";"None";"466.46";"0";"4.20";"19, enantiomer";"O=S(=O)(c1ccc(C(F)(F)F)nc1)N1C2Cc3[nH]ncc3C1CC(c1cccc(F)c1)C2";"IC50";"'='";"6600.0";"nM";"5.18";"";"";"UO_0000065";"11.11";"0.22";"0.98";"6.56";"0";"CHEMBL1837503";"Inhibition of gamma-secretase-mediated notch cleavage in human SNC-204B8 cells after 16 hrs by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SNC-204B8";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1833811";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"6600.0"
"CHEMBL1837044";"";"None";"419.96";"0";"4.36";"15, enantiomer";"O=S(=O)(c1ccc(Cl)s1)N1C2Cc3[nH]ncc3C1CC(c1ccccc1)C2";"IC50";"'='";"26719.0";"nM";"4.57";"";"";"UO_0000065";"10.89";"0.23";"0.21";"6.92";"0";"CHEMBL1837503";"Inhibition of gamma-secretase-mediated notch cleavage in human SNC-204B8 cells after 16 hrs by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SNC-204B8";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1833811";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"26719.0"
"CHEMBL568933";"";"None";"337.83";"0";"2.90";"1, enantiomer";"O=S(=O)(c1ccc(Cl)cc1)N1C2CCCC1c1cn[nH]c1C2";"IC50";"'='";"879.0";"nM";"6.06";"";"";"UO_0000065";"17.93";"0.38";"3.16";"9.17";"0";"CHEMBL1837503";"Inhibition of gamma-secretase-mediated notch cleavage in human SNC-204B8 cells after 16 hrs by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SNC-204B8";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1833811";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"879.0"
"CHEMBL1837053";"";"None";"504.53";"1";"4.62";"25, enantiomer";"CC(=O)Nc1cccc(C2CC3Cc4[nH]ncc4C(C2)N3S(=O)(=O)c2ccc(C(F)(F)F)cc2)c1";"IC50";"'='";"29.0";"nM";"7.54";"";"";"UO_0000065";"14.94";"0.29";"2.92";"7.92";"0";"CHEMBL1837501";"Inhibition of gamma-secretase-mediated cleavage of amyloid precursor protein in human IMR32 cells after 2 hrs using MBPC-125 substrate by ELISA assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"IMR-32";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1833811";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307656";"";"";"";"29.0"
"CHEMBL182638";"";"None";"307.46";"0";"2.90";"16";"CCCCS(=O)(=O)NC1C2CCC1Cc1ccccc1C2";"IC50";"'='";"610.0";"nM";"6.21";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL827973";"Inhibitory concentration against Gamma-secretase in whole cell inhibition assay using SH-SY5Y cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1143656";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3307740";"";"";"";"610.0"
